text,true_emotion,predicted_emotion
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. ",anger,anger
@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid  #hypocrisy,anger,anger
@DJ_JeanFranko growl!!!,anger,anger
@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.,anger,sadness
"@HomeSwapperteam  Spent months arranging swap , new jobs etc, now I've found out she's been leading me on a merry dance. #fuming with her",anger,anger
i live and die for mchanzo honeymoon crashing and burning the second they move in together,anger,sadness
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant ",anger,anger
"@LaureEve I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm there.",anger,joy
"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm  #bored",anger,sadness
@UKBlogAwards @ModishMale I would always be honest but it's great to feedback opinion to the brand - don't want to offend them #BlogHour,anger,fear
"Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.",anger,anger
"@reluctantnicko Don't ask, you don't get. Apologies if I've offended you. All due respect Alan, I think you've been fed duff info.",anger,anger
"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",anger,sadness
"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",anger,sadness
"@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh",anger,anger
@fluffysoftlouis no no. I insist that you give me your best insult first,anger,anger
"@Yoshi_OnoChin can you please not have Canadian players play US players, that lag  is atrocious. #fixthisgame #trash #sfvrefund ",anger,anger
@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid #bitter #hypocrisy,anger,anger
Sting is just too damn earnest for early morning listening. #sting,anger,sadness
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,anger,anger
Losing to Villa...'@M0tivati0nQuote: Most of the things people worry about are things that won't even matter to them a few months from now.',fear,sadness
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help  #heart #HeartRacing,fear,fear
@LethalWeaponFOX This show SUCKS! #lame #awful you even used the same names?? lol SO SO bad! #Failed #notworth2minutes. Off air SOON,fear,anger
"@soozclifford Sure have... Sydney are too tough, too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan #timid",fear,sadness
@SAHARTHERAPPER I unfollowed without hesitation &lt;3,fear,joy
@AaliyahLove69 I would be intimidated but I would like to think I would have manned up and helped.,fear,fear
Southend players always haunt Man U,fear,anger
T5ylw ansh a79l shy 7lw mn wayed nas fe whatsapp,fear,joy
@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius #awful,fear,anger
@ReaganBattalion That's a terrible thing to accuse Scott Baio of.,fear,sadness
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography #horror,fear,fear
"He called me fat, so I pushed him into the lockers then he threaten to sue me' 😂",fear,anger
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !!  #longingformore,fear,joy
An adviser to the #European #Union’s top #court said #Hamas and the #Tamil #Tigers should be taken off the EU’s #terror list.#lka,fear,joy
There goes the butterflies in my stomach.  #anxietyproblems,fear,fear
Northampton are awful 🙈,fear,sadness
"#twitter #users Tweeting on twitter is like playing a game against the computer. Where's the life, Everyone too #afraid to say something?",fear,fear
@lukeshawtime terrible,fear,sadness
"Gahh...BT, in queue for 30 minutes.. Now put through to BT Sport dept to cancel... back in a queue again... ",fear,anger
